date,station,temperature_f,precipitation_inches,pressure_inhg
2023-01-16,Station_Beta,50.2,0,29.99
2023-01-16,Station_Delta,50.4,0,30.04
2023-01-16,Station_Gamma,52,0,30.04
2023-01-17,Station_Alpha,45,0,30.06
2023-01-17,Station_Beta,47.1,0,30.01
2023-01-17,Station_Delta,49.8,0,30.09
2023-01-17,Station_Gamma,47.6,0,30.05
2023-01-18,Station_Alpha,36.9,0,30.02
2023-01-18,Station_Beta,33.3,0,29.98
2023-01-18,Station_Delta,39.4,0,30.04
2023-01-18,Station_Gamma,36.4,0,30
2023-01-19,Station_Alpha,36.8,0,29.99
2023-01-19,Station_Beta,34.6,0,29.99
2023-01-19,Station_Delta,36.9,0,29.99
2023-01-19,Station_Gamma,32.8,0,29.99
2023-01-20,Station_Alpha,54.8,0.12,30.02
2023-01-20,Station_Beta,54.8,0.12,29.99
2023-01-20,Station_Delta,52.6,0.12,30
2023-01-20,Station_Gamma,53.3,0.12,30.03
2023-01-21,Station_Alpha,44.3,0,30.07
2023-01-21,Station_Beta,46.6,0,30.08
2023-01-21,Station_Delta,46.4,0,30.09
2023-01-21,Station_Gamma,48.3,0,30.05
2023-01-22,Station_Alpha,43.5,0,30.14
2023-01-22,Station_Beta,39,0,30.11
2023-01-22,Station_Delta,38.4,0,30.13
2023-01-22,Station_Gamma,40.1,0,30.14
2023-01-23,Station_Alpha,45.2,0,29.97
2023-01-23,Station_Beta,50.3,0,29.99
2023-01-23,Station_Delta,50.5,0,30
2023-01-23,Station_Gamma,46,0,29.98
2023-01-24,Station_Alpha,56.8,0.44,30.08
2023-01-24,Station_Beta,56.1,0.44,30.05
2023-01-24,Station_Delta,57.4,0.44,30.09
2023-01-24,Station_Gamma,54.6,0.44,30.09
2023-01-25,Station_Alpha,57.6,0,30.13
2023-01-25,Station_Beta,60.2,0,30.12
2023-01-25,Station_Delta,57.2,0,30.13
2023-01-25,Station_Gamma,60,0,30.14
2023-01-26,Station_Alpha,46.6,0,30.01
2023-01-26,Station_Beta,46.4,0,30.03
2023-01-26,Station_Delta,46.7,0,30.05
2023-01-26,Station_Gamma,44,0,29.99
2023-01-27,Station_Alpha,51.2,0,30.02
2023-01-27,Station_Beta,46.4,0,30.03
2023-01-27,Station_Delta,45.7,0,29.99
2023-01-27,Station_Gamma,48.4,0,29.99
2023-01-28,Station_Alpha,43.7,0,30.01
2023-01-28,Station_Beta,43.5,0,30.08
2023-01-28,Station_Delta,42.3,0,30.06
2023-01-28,Station_Gamma,37.2,0,30.07
2023-01-29,Station_Alpha,49.3,0,29.99
2023-01-29,Station_Beta,52.7,0,30.02
2023-01-29,Station_Delta,53,0,29.97
2023-01-29,Station_Gamma,49.2,0,29.98
2023-01-30,Station_Alpha,45.8,0,30.02
2023-01-30,Station_Beta,45.3,0,30.03
2023-01-30,Station_Delta,49.1,0,30.04
2023-01-30,Station_Gamma,48.7,0,30.06
2023-01-31,Station_Alpha,54,0,30.01
2023-01-31,Station_Beta,52.4,0,30.02
2023-01-31,Station_Delta,50.1,0,30.01
2023-01-31,Station_Gamma,49.6,0,30.01
2023-02-01,Station_Alpha,53.9,0,30.17
2023-02-01,Station_Beta,52.6,0,30.16
2023-02-01,Station_Delta,54.5,0,30.17
2023-02-01,Station_Gamma,50.4,0,30.13
2023-02-02,Station_Alpha,54.9,0,30.02
2023-02-02,Station_Beta,56,0,30
2023-02-02,Station_Delta,54.7,0,29.99
2023-02-02,Station_Gamma,53.9,0,29.98
2023-02-03,Station_Alpha,47.1,0,30.08
2023-02-03,Station_Beta,49.9,0,30.11
2023-02-03,Station_Delta,49.6,0,30.1
2023-02-03,Station_Gamma,44.7,0,30.07
2023-02-04,Station_Alpha,54.7,0.39,30.01
2023-02-04,Station_Beta,52.6,0.39,30.03
2023-02-04,Station_Delta,56.2,0.39,30.06
2023-02-04,Station_Gamma,53.8,0.39,29.99
2023-02-05,Station_Alpha,39.7,0,30.01
2023-02-05,Station_Beta,42.9,0,30.04
2023-02-05,Station_Delta,41,0,30
2023-02-05,Station_Gamma,41.4,0,30.03
2023-02-06,Station_Alpha,47.1,0,29.97
2023-02-06,Station_Beta,48.5,0,30.04
2023-02-06,Station_Delta,48.4,0,30.04
2023-02-06,Station_Gamma,48.8,0,30.03
2023-02-07,Station_Alpha,48.8,0.07,30.02
2023-02-07,Station_Beta,46.4,0.07,30
2023-02-07,Station_Delta,45.3,0.07,29.99
2023-02-07,Station_Gamma,47.9,0.07,30.03
2023-02-08,Station_Alpha,40.6,0,30.03
2023-02-08,Station_Beta,36.6,0,30.01
2023-02-08,Station_Delta,41.1,0,30.02
2023-02-08,Station_Gamma,38.3,0,29.98
2023-02-09,Station_Alpha,54.2,0,30.03
2023-02-09,Station_Beta,52.1,0,30.03
2023-02-09,Station_Delta,49.7,0,30.05
2023-02-09,Station_Gamma,51.5,0,30.05
2023-02-10,Station_Alpha,54.5,0,30.08
2023-02-10,Station_Beta,51.9,0,30.11
2023-02-10,Station_Delta,57.9,0,30.11
2023-02-10,Station_Gamma,53.7,0,30.07
2023-02-11,Station_Alpha,51.9,0,30.02
2023-02-11,Station_Beta,52.9,0,30.08
2023-02-11,Station_Delta,55.6,0,30.02
2023-02-11,Station_Gamma,49.5,0,30.01
2023-02-12,Station_Alpha,58.7,0,29.98
2023-02-12,Station_Beta,56.7,0,29.96
2023-02-12,Station_Delta,58.7,0,29.94
2023-02-12,Station_Gamma,55.2,0,29.99
2023-02-13,Station_Alpha,52.3,0,30.04
2023-02-13,Station_Beta,49.4,0,30.06
2023-02-13,Station_Delta,49.6,0,30.03
2023-02-13,Station_Gamma,52.7,0,30.02
2023-02-14,Station_Alpha,45.1,0,30.03
2023-02-14,Station_Beta,43.7,0,30.09
2023-02-14,Station_Delta,48.1,0,30.02
2023-02-14,Station_Gamma,46.1,0,30.05
2023-02-15,Station_Alpha,54.5,0,30.1
2023-02-15,Station_Beta,54,0,30.1
2023-02-15,Station_Delta,54.5,0,30.13
2023-02-15,Station_Gamma,58.3,0,30.1
2023-02-16,Station_Alpha,49.9,0,30.04
2023-02-16,Station_Beta,51.1,0,30.07
2023-02-16,Station_Delta,47,0,30.03
2023-02-16,Station_Gamma,50.5,0,30.02
2023-02-17,Station_Alpha,62.1,0,29.93
2023-02-17,Station_Beta,61.4,0,29.88
2023-02-17,Station_Delta,62.4,0,29.9
2023-02-17,Station_Gamma,62.8,0,29.89
2023-02-18,Station_Alpha,50.9,0,30.05
2023-02-18,Station_Beta,51.3,0,30.1
2023-02-18,Station_Delta,47.6,0,30.08
2023-02-18,Station_Gamma,50.7,0,30.09
2023-02-19,Station_Alpha,57.8,0.02,30.02
2023-02-19,Station_Beta,55.4,0.02,29.96
2023-02-19,Station_Delta,56.6,0.02,29.98
2023-02-19,Station_Gamma,58.4,0.02,29.99
2023-02-20,Station_Alpha,54.7,0,30.14
2023-02-20,Station_Beta,61.3,0,30.06
2023-02-20,Station_Delta,56.5,0,30.05
2023-02-20,Station_Gamma,56.8,0,30.1
2023-02-21,Station_Alpha,48.1,0,30.12
2023-02-21,Station_Beta,54.1,0,30.13
2023-02-21,Station_Delta,54.3,0,30.17
2023-02-21,Station_Gamma,49,0,30.13
2023-02-22,Station_Alpha,65.6,0,30.08
2023-02-22,Station_Beta,62.2,0,30.08
2023-02-22,Station_Delta,65.8,0,30.11
2023-02-22,Station_Gamma,62.9,0,30.08
2023-02-23,Station_Alpha,58.1,0,30.09
2023-02-23,Station_Beta,58.3,0,30.07
2023-02-23,Station_Delta,61.1,0,30.11
2023-02-23,Station_Gamma,59,0,30.06
2023-02-24,Station_Alpha,54.8,0,30.2
2023-02-24,Station_Beta,57.5,0,30.19
2023-02-24,Station_Delta,55.6,0,30.2
2023-02-24,Station_Gamma,57.6,0,30.22
2023-02-25,Station_Alpha,60.7,0.01,30.14
2023-02-25,Station_Beta,58.2,0.01,30.11
2023-02-25,Station_Delta,60.8,0.01,30.13
2023-02-25,Station_Gamma,57.5,0.01,30.12
2023-02-26,Station_Alpha,58.1,0,30.14
2023-02-26,Station_Beta,63.1,0,30.15
2023-02-26,Station_Delta,60.3,0,30.11
2023-02-26,Station_Gamma,62.1,0,30.17
2023-02-27,Station_Alpha,60.2,0,30.19
2023-02-27,Station_Beta,58.2,0,30.2
2023-02-27,Station_Delta,61.3,0,30.23
2023-02-27,Station_Gamma,59.3,0,30.23
2023-02-28,Station_Alpha,40.8,0,30.09
2023-02-28,Station_Beta,43.1,0,30.09
2023-02-28,Station_Delta,40.2,0,30.09
2023-02-28,Station_Gamma,38.9,0,30.07
2023-03-01,Station_Alpha,56.5,0,30.04
2023-03-01,Station_Beta,53.8,0,30.02
2023-03-01,Station_Delta,59,0,30.09
2023-03-01,Station_Gamma,57.4,0,30.05
2023-03-02,Station_Alpha,51.9,0,30.08
2023-03-02,Station_Beta,56.5,0,30.08
2023-03-02,Station_Delta,56.7,0,30.1
2023-03-02,Station_Gamma,53.7,0,30.11
2023-03-03,Station_Alpha,56.8,0,30.06
2023-03-03,Station_Beta,56.5,0,30.07
2023-03-03,Station_Delta,61,0,30.04
2023-03-03,Station_Gamma,59.1,0,30.06
2023-03-04,Station_Alpha,62.3,0,30.04
2023-03-04,Station_Beta,61.2,0,30.04
2023-03-04,Station_Delta,61.2,0,30.07
2023-03-04,Station_Gamma,65.8,0,30.09
2023-03-05,Station_Alpha,62.5,0.54,30.11
2023-03-05,Station_Beta,65,0.54,30.1
2023-03-05,Station_Delta,67.5,0.54,30.12
2023-03-05,Station_Gamma,67.2,0.54,30.1
2023-03-06,Station_Alpha,57.4,0,30.04
2023-03-06,Station_Beta,57.2,0,30.09
2023-03-06,Station_Delta,52.1,0,30.03
2023-03-06,Station_Gamma,53.7,0,30.06
2023-03-07,Station_Alpha,68.5,0,30.1
2023-03-07,Station_Beta,66.3,0,30.1
2023-03-07,Station_Delta,65.8,0,30.11
2023-03-07,Station_Gamma,67.6,0,30.09
2023-03-08,Station_Alpha,62.6,0.24,30.14
2023-03-08,Station_Beta,61.5,0.24,30.09
2023-03-08,Station_Delta,61.5,0.24,30.1
2023-03-08,Station_Gamma,61.6,0.24,30.07
2023-03-09,Station_Alpha,64.4,0,30.07
2023-03-09,Station_Beta,65,0,30.13
2023-03-09,Station_Delta,66.5,0,30.07
2023-03-09,Station_Gamma,66.4,0,30.08
2023-03-10,Station_Alpha,67.8,0.03,30.17
2023-03-10,Station_Beta,65.6,0.03,30.18
2023-03-10,Station_Delta,64.5,0.03,30.18
2023-03-10,Station_Gamma,66.1,0.03,30.18
2023-03-11,Station_Alpha,63.9,0.75,30.05
2023-03-11,Station_Beta,62,0.75,30.06
2023-03-11,Station_Delta,62.8,0.75,30.07
2023-03-11,Station_Gamma,62.1,0.75,30.06
2023-03-12,Station_Alpha,55.6,0,30.09
2023-03-12,Station_Beta,58.7,0,30.1
2023-03-12,Station_Delta,57.1,0,30.06
2023-03-12,Station_Gamma,59.2,0,30.1
2023-03-13,Station_Alpha,58.3,0.01,30.11
2023-03-13,Station_Beta,61.6,0.01,30.14
2023-03-13,Station_Delta,62.2,0.01,30.11
2023-03-13,Station_Gamma,63.7,0.01,30.11
2023-03-14,Station_Alpha,64.7,0,30.12
2023-03-14,Station_Beta,67.2,0,30.1
2023-03-14,Station_Delta,63.2,0,30.14
2023-03-14,Station_Gamma,64.9,0,30.1
2023-03-15,Station_Alpha,57.5,0,30.14
2023-03-15,Station_Beta,62.5,0,30.14
2023-03-15,Station_Delta,55.8,0,30.1
2023-03-15,Station_Gamma,55.2,0,30.13
2023-03-16,Station_Alpha,57.2,0.25,30.07
2023-03-16,Station_Beta,58.7,0.25,30.08
2023-03-16,Station_Delta,60.1,0.25,30.12
2023-03-16,Station_Gamma,57.4,0.25,30.08
2023-03-17,Station_Alpha,69.2,0,30.1
2023-03-17,Station_Beta,68.8,0,30.08
2023-03-17,Station_Delta,66.5,0,30.07
2023-03-17,Station_Gamma,68.4,0,30.11
2023-03-18,Station_Alpha,65.9,0,30.02
2023-03-18,Station_Beta,70.5,0,30.05
2023-03-18,Station_Delta,69.8,0,30.1
2023-03-18,Station_Gamma,69.6,0,30.05
2023-03-19,Station_Alpha,64.5,0,30.08
2023-03-19,Station_Beta,68.4,0,30.01
2023-03-19,Station_Delta,67.5,0,30.06
2023-03-19,Station_Gamma,65.3,0,30.05
2023-03-20,Station_Alpha,60.5,0,30.13
2023-03-20,Station_Beta,61.1,0,30.14
2023-03-20,Station_Delta,63.6,0,30.11
2023-03-20,Station_Gamma,61.2,0,30.09
2023-03-21,Station_Alpha,60.2,0,30.1
2023-03-21,Station_Beta,63,0,30.08
2023-03-21,Station_Delta,59.9,0,30.13
2023-03-21,Station_Gamma,60.4,0,30.07
2023-03-22,Station_Alpha,70.2,0,30.1
2023-03-22,Station_Beta,72,0,30.15
2023-03-22,Station_Delta,75.6,0,30.13
2023-03-22,Station_Gamma,76.3,0,30.1
2023-03-23,Station_Alpha,66.2,0,30.03
2023-03-23,Station_Beta,65.6,0,30.05
2023-03-23,Station_Delta,64,0,30.07
2023-03-23,Station_Gamma,68,0,29.99
2023-03-24,Station_Alpha,67.1,0,30.18
2023-03-24,Station_Beta,66.9,0,30.11
2023-03-24,Station_Delta,64.5,0,30.14
2023-03-24,Station_Gamma,70.3,0,30.16
2023-03-25,Station_Alpha,64.1,1.02,30.14
2023-03-25,Station_Beta,66.3,1.02,30.11
2023-03-25,Station_Delta,63.8,1.02,30.11
2023-03-25,Station_Gamma,66.3,1.02,30.14
2023-03-26,Station_Alpha,62.8,0,30.1
2023-03-26,Station_Beta,63.1,0,30.11
2023-03-26,Station_Delta,57.2,0,30.08
2023-03-26,Station_Gamma,62.2,0,30.06
2023-03-27,Station_Alpha,65.6,0,30.18
2023-03-27,Station_Beta,72.3,0,30.16
2023-03-27,Station_Delta,70.7,0,30.14
2023-03-27,Station_Gamma,72.1,0,30.17
2023-03-28,Station_Alpha,64.7,0,30.2
2023-03-28,Station_Beta,66.7,0,30.14
2023-03-28,Station_Delta,62.3,0,30.19
2023-03-28,Station_Gamma,66.2,0,30.19
2023-03-29,Station_Alpha,67.8,0,30.09
2023-03-29,Station_Beta,66.3,0,30.19
2023-03-29,Station_Delta,68.6,0,30.12
2023-03-29,Station_Gamma,71.1,0,30.14
2023-03-30,Station_Alpha,74.6,0,30.06
2023-03-30,Station_Beta,76,0,30.11
2023-03-30,Station_Delta,72.9,0,30.06
2023-03-30,Station_Gamma,74.2,0,30.11
2023-03-31,Station_Alpha,72.7,0,30.03
2023-03-31,Station_Beta,68.5,0,30.03
2023-03-31,Station_Delta,73.4,0,30.05
2023-03-31,Station_Gamma,75,0,30.04
2023-04-01,Station_Alpha,74.6,0.78,30.1
2023-04-01,Station_Beta,74.3,0.78,30.12
2023-04-01,Station_Delta,76,0.78,30.08
2023-04-01,Station_Gamma,76.4,0.78,30.08
2023-04-02,Station_Alpha,69.3,0.22,30.18
2023-04-02,Station_Beta,67.6,0.22,30.2
2023-04-02,Station_Delta,69.7,0.22,30.17
2023-04-02,Station_Gamma,69.3,0.22,30.14
2023-04-03,Station_Alpha,69.4,0,30.13
2023-04-03,Station_Beta,70.3,0,30.16
2023-04-03,Station_Delta,73.3,0,30.14
2023-04-03,Station_Gamma,72.7,0,30.15
2023-04-04,Station_Alpha,77.8,0,30.14
2023-04-04,Station_Beta,77.4,0,30.1
2023-04-04,Station_Delta,77.7,0,30.13
2023-04-04,Station_Gamma,78.3,0,30.16
2023-04-05,Station_Alpha,63.2,0,30.09
2023-04-05,Station_Beta,63.1,0,30.08
2023-04-05,Station_Delta,60.9,0,30.08
2023-04-05,Station_Gamma,65.7,0,30.08
2023-04-06,Station_Alpha,66.7,0,30.06
2023-04-06,Station_Beta,65.1,0,30.08
2023-04-06,Station_Delta,67.9,0,30.09
2023-04-06,Station_Gamma,68.6,0,30.09
2023-04-07,Station_Alpha,61.6,0,30.15
2023-04-07,Station_Beta,63.6,0,30.12
2023-04-07,Station_Delta,64.6,0,30.15
2023-04-07,Station_Gamma,66,0,30.15
2023-04-08,Station_Alpha,67.1,0,30.08
2023-04-08,Station_Beta,65.8,0,30.07
2023-04-08,Station_Delta,59.8,0,30.11
2023-04-08,Station_Gamma,64.2,0,30.09
2023-04-09,Station_Alpha,72.8,0,30.05
2023-04-09,Station_Beta,71.6,0,30.03
2023-04-09,Station_Delta,72.2,0,30.02
2023-04-09,Station_Gamma,70.7,0,30.04
2023-04-10,Station_Alpha,71.6,0,30.08
2023-04-10,Station_Beta,74.1,0,30.02
2023-04-10,Station_Delta,75.5,0,30.05
2023-04-10,Station_Gamma,73.1,0,30.1
